,N1,N2,N3,N4,N5,E1,E2,Winner,Winning Serie,Gain
28,47.0,36.0,17.0,16.0,18.0,1.0,2.0,0.0,1.0,26982938.0
29,16.0,37.0,8.0,41.0,4.0,2.0,5.0,0.0,1.0,15000000.0
30,8.0,5.0,40.0,25.0,17.0,5.0,1.0,2.0,1.0,15000000.0
31,36.0,12.0,33.0,22.0,32.0,2.0,6.0,0.0,1.0,183109057.0
32,36.0,30.0,14.0,27.0,21.0,2.0,3.0,0.0,1.0,153564446.0
33,13.0,11.0,44.0,24.0,49.0,9.0,3.0,0.0,1.0,131523150.0
34,3.0,50.0,44.0,4.0,8.0,8.0,7.0,0.0,1.0,113230830.0
35,10.0,34.0,47.0,19.0,45.0,6.0,3.0,0.0,1.0,96837646.0
36,2.0,32.0,38.0,41.0,25.0,5.0,3.0,0.0,1.0,82724345.0
37,5.0,35.0,11.0,22.0,38.0,7.0,8.0,0.0,1.0,69208821.0
38,1.0,3.0,24.0,6.0,18.0,5.0,8.0,0.0,1.0,59132969.0
39,30.0,45.0,49.0,29.0,10.0,8.0,3.0,0.0,1.0,47213250.0
40,10.0,49.0,26.0,6.0,16.0,7.0,9.0,0.0,1.0,35980458.0
41,12.0,10.0,32.0,33.0,1.0,8.0,1.0,0.0,1.0,25256582.0
42,25.0,50.0,7.0,45.0,3.0,9.0,6.0,0.0,1.0,15000000.0
43,47.0,10.0,28.0,48.0,40.0,8.0,6.0,1.0,1.0,57414511.0
44,37.0,40.0,50.0,12.0,39.0,1.0,2.0,0.0,1.0,45929071.0
45,47.0,31.0,46.0,28.0,27.0,5.0,2.0,0.0,1.0,35197614.0
46,26.0,15.0,32.0,14.0,1.0,7.0,3.0,0.0,1.0,24977577.0
47,3.0,43.0,29.0,8.0,12.0,6.0,7.0,0.0,1.0,15000000.0
48,50.0,4.0,38.0,2.0,9.0,8.0,6.0,1.0,1.0,25042525.0
49,1.0,31.0,7.0,17.0,36.0,8.0,2.0,0.0,1.0,15000000.0
50,35.0,9.0,7.0,43.0,18.0,7.0,5.0,2.0,1.0,68408266.0
51,16.0,6.0,15.0,40.0,43.0,1.0,2.0,0.0,1.0,58765947.0
52,44.0,30.0,9.0,21.0,43.0,9.0,1.0,0.0,1.0,46811687.0
53,26.0,36.0,1.0,16.0,30.0,9.0,3.0,0.0,1.0,35662152.0
54,3.0,34.0,39.0,15.0,12.0,4.0,6.0,0.0,1.0,25187106.0
55,41.0,7.0,48.0,27.0,8.0,6.0,1.0,0.0,1.0,15000000.0
56,21.0,41.0,12.0,2.0,49.0,3.0,7.0,2.0,1.0,15000000.0
57,49.0,34.0,25.0,3.0,5.0,8.0,5.0,1.0,1.0,15000000.0
58,23.0,5.0,20.0,34.0,50.0,1.0,5.0,2.0,1.0,25640375.0
59,8.0,50.0,16.0,4.0,14.0,9.0,3.0,0.0,1.0,15000000.0
60,17.0,5.0,33.0,22.0,10.0,7.0,5.0,4.0,1.0,25811931.0
61,46.0,1.0,22.0,20.0,37.0,1.0,9.0,0.0,1.0,15000000.0
62,34.0,35.0,26.0,16.0,49.0,6.0,2.0,1.0,1.0,25915863.0
63,13.0,12.0,29.0,50.0,44.0,4.0,5.0,0.0,1.0,15000000.0
64,50.0,3.0,45.0,20.0,31.0,7.0,6.0,1.0,1.0,75753123.0
65,17.0,47.0,28.0,33.0,35.0,4.0,9.0,0.0,1.0,65117842.0
66,50.0,44.0,5.0,45.0,32.0,7.0,1.0,0.0,1.0,51865203.0
67,1.0,33.0,21.0,45.0,49.0,4.0,8.0,0.0,1.0,39080314.0
68,5.0,44.0,10.0,8.0,3.0,3.0,5.0,0.0,1.0,26842720.0
69,18.0,19.0,1.0,47.0,11.0,7.0,3.0,0.0,1.0,15000000.0
70,4.0,23.0,38.0,24.0,26.0,4.0,2.0,1.0,1.0,27813382.0
71,5.0,38.0,6.0,48.0,50.0,6.0,7.0,0.0,1.0,15000000.0
72,30.0,39.0,9.0,21.0,50.0,3.0,1.0,3.0,1.0,183573077.0
73,9.0,21.0,15.0,40.0,49.0,4.0,1.0,0.0,1.0,152882223.0
74,45.0,31.0,20.0,22.0,21.0,9.0,7.0,0.0,1.0,15000000.0
75,37.0,7.0,44.0,28.0,9.0,7.0,6.0,1.0,1.0,27716872.0
76,8.0,30.0,36.0,25.0,44.0,4.0,3.0,0.0,1.0,15000000.0
77,48.0,43.0,4.0,2.0,32.0,1.0,7.0,1.0,1.0,27552424.0
78,38.0,20.0,12.0,19.0,30.0,9.0,7.0,0.0,1.0,15000000.0
79,22.0,2.0,48.0,29.0,10.0,9.0,3.0,1.0,1.0,27375964.0
80,23.0,18.0,33.0,37.0,9.0,1.0,8.0,0.0,1.0,15000000.0
81,14.0,25.0,36.0,5.0,22.0,6.0,5.0,2.0,1.0,15000000.0
82,40.0,16.0,3.0,19.0,18.0,2.0,1.0,1.0,1.0,41136124.0
83,20.0,7.0,38.0,40.0,43.0,8.0,1.0,0.0,1.0,27610682.0
84,7.0,18.0,34.0,35.0,40.0,7.0,8.0,0.0,1.0,15000000.0
85,36.0,47.0,21.0,32.0,46.0,3.0,4.0,2.0,1.0,15000000.0
86,20.0,27.0,35.0,44.0,11.0,5.0,2.0,5.0,1.0,15000000.0
87,22.0,34.0,44.0,30.0,35.0,4.0,5.0,0.0,1.0,130000000.0
88,35.0,37.0,17.0,1.0,32.0,8.0,1.0,1.0,1.0,27247062.0
89,33.0,29.0,5.0,9.0,11.0,7.0,9.0,0.0,1.0,15000000.0
90,42.0,3.0,34.0,2.0,33.0,5.0,3.0,1.0,1.0,15000000.0
91,22.0,37.0,23.0,18.0,6.0,6.0,5.0,1.0,1.0,39496528.0
92,16.0,3.0,42.0,1.0,48.0,2.0,3.0,0.0,1.0,26677818.0
93,2.0,13.0,42.0,3.0,38.0,7.0,8.0,0.0,1.0,15000000.0
94,40.0,43.0,49.0,42.0,23.0,6.0,2.0,1.0,1.0,52630236.0
95,41.0,33.0,37.0,30.0,10.0,1.0,8.0,0.0,1.0,39185012.0
96,4.0,29.0,21.0,1.0,41.0,8.0,7.0,0.0,1.0,27731341.0
97,50.0,26.0,10.0,21.0,25.0,9.0,4.0,0.0,1.0,15000000.0
98,13.0,9.0,31.0,15.0,48.0,6.0,3.0,1.0,1.0,56945074.0
99,39.0,41.0,4.0,19.0,5.0,9.0,8.0,0.0,1.0,39898280.0
100,28.0,8.0,33.0,45.0,12.0,1.0,3.0,0.0,1.0,26816658.0
101,22.0,17.0,16.0,11.0,34.0,5.0,6.0,0.0,1.0,15000000.0
102,5.0,14.0,40.0,7.0,21.0,3.0,8.0,1.0,1.0,26938896.0
103,15.0,17.0,25.0,45.0,1.0,8.0,2.0,0.0,1.0,15000000.0
104,22.0,41.0,42.0,37.0,6.0,6.0,9.0,1.0,1.0,15000000.0
105,49.0,26.0,50.0,29.0,25.0,8.0,7.0,1.0,1.0,15000000.0
106,49.0,37.0,34.0,26.0,39.0,2.0,6.0,1.0,1.0,15000000.0
107,12.0,26.0,49.0,7.0,29.0,6.0,2.0,3.0,1.0,53347664.0
108,17.0,41.0,35.0,6.0,45.0,1.0,5.0,0.0,1.0,39605256.0
109,44.0,18.0,7.0,36.0,27.0,1.0,2.0,0.0,1.0,26851565.0
110,41.0,26.0,32.0,45.0,23.0,3.0,7.0,0.0,1.0,15000000.0
111,20.0,41.0,38.0,7.0,25.0,3.0,7.0,1.0,1.0,15000000.0
112,41.0,48.0,29.0,23.0,15.0,6.0,3.0,1.0,1.0,26945909.0
113,19.0,9.0,46.0,17.0,41.0,1.0,8.0,0.0,1.0,15000000.0
114,43.0,17.0,5.0,40.0,13.0,3.0,1.0,1.0,1.0,41023864.0
115,45.0,4.0,31.0,49.0,14.0,9.0,4.0,0.0,1.0,27699321.0
116,43.0,25.0,3.0,2.0,48.0,9.0,6.0,0.0,1.0,15000000.0
117,3.0,16.0,48.0,34.0,38.0,8.0,5.0,2.0,1.0,42201702.0
118,20.0,2.0,22.0,18.0,15.0,5.0,2.0,0.0,1.0,28224030.0
119,19.0,39.0,20.0,50.0,8.0,6.0,9.0,0.0,1.0,15000000.0
120,36.0,16.0,46.0,30.0,14.0,8.0,2.0,1.0,1.0,100000000.0
121,36.0,14.0,27.0,23.0,30.0,1.0,6.0,1.0,1.0,27173863.0
122,38.0,11.0,23.0,15.0,30.0,4.0,9.0,0.0,1.0,15000000.0
123,27.0,5.0,13.0,33.0,42.0,4.0,2.0,1.0,1.0,15000000.0
124,14.0,8.0,25.0,19.0,11.0,3.0,5.0,1.0,1.0,15000000.0
125,17.0,45.0,36.0,29.0,19.0,6.0,5.0,2.0,1.0,78312155.0
126,44.0,26.0,2.0,1.0,50.0,1.0,7.0,0.0,1.0,26758047.0
127,29.0,50.0,46.0,28.0,40.0,5.0,7.0,0.0,1.0,15000000.0
128,2.0,19.0,42.0,28.0,49.0,7.0,2.0,2.0,1.0,15000000.0
129,35.0,8.0,21.0,45.0,4.0,5.0,8.0,1.0,1.0,15000000.0
130,8.0,25.0,11.0,41.0,16.0,4.0,2.0,1.0,1.0,28044446.0
131,50.0,49.0,21.0,9.0,14.0,8.0,3.0,0.0,1.0,15000000.0
132,14.0,26.0,10.0,8.0,21.0,4.0,3.0,1.0,1.0,15000000.0
133,9.0,1.0,17.0,12.0,18.0,3.0,4.0,1.0,1.0,15000000.0
134,34.0,25.0,3.0,41.0,18.0,5.0,2.0,2.0,1.0,42831306.0
135,45.0,7.0,15.0,16.0,17.0,6.0,9.0,0.0,1.0,28282482.0
136,50.0,12.0,10.0,3.0,42.0,1.0,5.0,0.0,1.0,15000000.0
137,15.0,31.0,22.0,4.0,41.0,6.0,1.0,1.0,1.0,29068081.0
138,4.0,38.0,13.0,19.0,23.0,2.0,3.0,0.0,1.0,15000000.0
139,31.0,29.0,33.0,14.0,37.0,2.0,1.0,0.0,1.0,130000000.0
140,14.0,16.0,19.0,31.0,20.0,9.0,6.0,0.0,1.0,15000000.0
141,23.0,33.0,37.0,19.0,50.0,7.0,3.0,1.0,1.0,15000000.0
142,17.0,12.0,39.0,16.0,7.0,3.0,8.0,2.0,1.0,119349706.0
143,2.0,20.0,37.0,25.0,39.0,8.0,5.0,0.0,1.0,91223351.0
144,50.0,27.0,29.0,39.0,7.0,7.0,5.0,0.0,1.0,70754953.0
145,18.0,11.0,17.0,26.0,31.0,6.0,5.0,0.0,1.0,54127607.0
146,15.0,5.0,16.0,45.0,4.0,7.0,4.0,0.0,1.0,40358795.0
147,25.0,40.0,22.0,50.0,1.0,1.0,8.0,0.0,1.0,27010082.0
148,29.0,7.0,15.0,24.0,11.0,7.0,2.0,0.0,1.0,15000000.0
149,16.0,14.0,44.0,10.0,29.0,6.0,5.0,1.0,1.0,15000000.0
150,37.0,19.0,11.0,13.0,9.0,3.0,4.0,1.0,1.0,15000000.0
151,19.0,22.0,48.0,7.0,27.0,7.0,5.0,1.0,1.0,15000000.0
152,20.0,44.0,5.0,50.0,26.0,5.0,7.0,1.0,1.0,58278337.0
153,11.0,8.0,36.0,37.0,45.0,3.0,5.0,0.0,1.0,43334864.0
154,16.0,37.0,44.0,50.0,13.0,9.0,1.0,0.0,1.0,29947069.0
155,21.0,40.0,19.0,50.0,7.0,2.0,9.0,0.0,1.0,15000000.0
156,14.0,20.0,49.0,7.0,5.0,8.0,2.0,1.0,1.0,15000000.0
157,5.0,38.0,9.0,19.0,21.0,1.0,7.0,4.0,1.0,15000000.0
158,6.0,38.0,9.0,25.0,15.0,4.0,9.0,1.0,1.0,55609411.0
159,8.0,9.0,42.0,40.0,45.0,7.0,6.0,0.0,1.0,40624869.0
160,26.0,48.0,45.0,37.0,2.0,8.0,4.0,0.0,1.0,27290983.0
161,4.0,30.0,26.0,19.0,27.0,8.0,3.0,0.0,1.0,15000000.0
162,27.0,6.0,7.0,50.0,3.0,5.0,9.0,1.0,1.0,58367681.0
163,50.0,30.0,25.0,45.0,6.0,5.0,7.0,0.0,1.0,42346692.0
164,18.0,37.0,47.0,13.0,11.0,6.0,1.0,0.0,1.0,28004694.0
165,39.0,9.0,29.0,5.0,17.0,3.0,6.0,0.0,1.0,15000000.0
166,10.0,2.0,22.0,18.0,36.0,6.0,4.0,1.0,1.0,15000000.0
167,13.0,48.0,35.0,21.0,25.0,4.0,8.0,1.0,1.0,28239959.0
168,14.0,17.0,7.0,35.0,2.0,6.0,1.0,0.0,1.0,15000000.0
169,37.0,47.0,49.0,40.0,12.0,9.0,2.0,1.0,1.0,15000000.0
170,46.0,50.0,4.0,27.0,32.0,8.0,9.0,1.0,1.0,28912566.0
171,27.0,45.0,12.0,29.0,46.0,7.0,4.0,0.0,1.0,15000000.0
172,17.0,38.0,28.0,44.0,30.0,1.0,4.0,0.0,1.0,130000000.0
173,30.0,49.0,45.0,47.0,22.0,4.0,9.0,0.0,1.0,15000000.0
174,2.0,19.0,9.0,45.0,6.0,7.0,8.0,1.0,1.0,76611580.0
175,46.0,40.0,16.0,14.0,23.0,8.0,4.0,0.0,1.0,57437748.0
176,24.0,36.0,50.0,8.0,49.0,4.0,8.0,0.0,1.0,40754255.0
177,41.0,24.0,10.0,12.0,25.0,3.0,5.0,0.0,1.0,26917710.0
178,4.0,17.0,5.0,34.0,14.0,5.0,3.0,0.0,1.0,15000000.0
179,49.0,30.0,35.0,32.0,14.0,8.0,3.0,1.0,1.0,59459744.0
180,41.0,43.0,44.0,46.0,20.0,2.0,9.0,0.0,1.0,43818510.0
181,25.0,30.0,19.0,18.0,44.0,3.0,1.0,0.0,1.0,29071578.0
182,33.0,15.0,13.0,5.0,8.0,8.0,9.0,0.0,1.0,15000000.0
183,47.0,9.0,28.0,5.0,43.0,2.0,9.0,1.0,1.0,15000000.0
184,15.0,25.0,32.0,26.0,13.0,4.0,3.0,1.0,1.0,16569317.0
185,19.0,43.0,45.0,34.0,11.0,5.0,9.0,2.0,1.0,102199675.0
186,35.0,9.0,33.0,38.0,40.0,6.0,2.0,0.0,1.0,79524887.0
187,20.0,6.0,18.0,29.0,31.0,8.0,2.0,0.0,1.0,60674298.0
188,23.0,30.0,31.0,47.0,12.0,3.0,4.0,0.0,1.0,44254660.0
189,29.0,11.0,46.0,7.0,50.0,4.0,7.0,0.0,1.0,29041468.0
190,44.0,29.0,24.0,23.0,22.0,5.0,1.0,0.0,1.0,15000000.0
191,6.0,21.0,18.0,17.0,34.0,9.0,3.0,1.0,1.0,15000000.0
192,30.0,16.0,41.0,38.0,6.0,2.0,4.0,1.0,1.0,100000000.0
193,42.0,15.0,12.0,35.0,43.0,6.0,4.0,0.0,1.0,43176231.0
194,20.0,39.0,6.0,9.0,38.0,9.0,3.0,0.0,1.0,28509295.0
195,37.0,41.0,49.0,36.0,8.0,7.0,5.0,0.0,1.0,15000000.0
196,16.0,42.0,31.0,7.0,4.0,5.0,3.0,2.0,1.0,75140659.0
197,30.0,5.0,8.0,49.0,24.0,9.0,3.0,0.0,1.0,57349944.0
198,22.0,10.0,31.0,24.0,20.0,7.0,2.0,0.0,1.0,41938302.0
199,26.0,9.0,20.0,21.0,5.0,6.0,3.0,0.0,1.0,28001223.0
200,15.0,47.0,35.0,25.0,14.0,9.0,5.0,0.0,1.0,15000000.0
201,17.0,50.0,8.0,2.0,32.0,3.0,7.0,1.0,1.0,57528118.0
202,42.0,20.0,6.0,16.0,46.0,1.0,6.0,0.0,1.0,42207030.0
203,29.0,47.0,46.0,34.0,21.0,6.0,8.0,0.0,1.0,28040956.0
204,21.0,6.0,11.0,39.0,30.0,8.0,2.0,0.0,1.0,15000000.0
205,20.0,17.0,16.0,4.0,29.0,7.0,5.0,1.0,1.0,15000000.0
206,50.0,14.0,6.0,16.0,34.0,6.0,4.0,2.0,1.0,58861216.0
207,35.0,19.0,40.0,26.0,11.0,2.0,5.0,0.0,1.0,42859330.0
208,30.0,47.0,2.0,37.0,5.0,6.0,3.0,0.0,1.0,28394418.0
209,43.0,4.0,14.0,33.0,13.0,6.0,1.0,0.0,1.0,15000000.0
210,19.0,8.0,42.0,18.0,20.0,5.0,9.0,1.0,1.0,15000000.0
211,4.0,29.0,23.0,31.0,24.0,9.0,8.0,1.0,1.0,126231764.0
212,38.0,47.0,31.0,19.0,5.0,3.0,5.0,0.0,1.0,98731551.0
213,21.0,4.0,24.0,14.0,41.0,5.0,8.0,0.0,1.0,77000542.0
214,7.0,4.0,21.0,44.0,47.0,1.0,5.0,0.0,1.0,58530802.0
215,37.0,14.0,9.0,46.0,16.0,2.0,4.0,0.0,1.0,42292286.0
216,46.0,24.0,32.0,20.0,2.0,1.0,9.0,0.0,1.0,28308420.0
217,25.0,42.0,36.0,33.0,38.0,6.0,7.0,0.0,1.0,15000000.0
218,31.0,12.0,35.0,23.0,16.0,4.0,6.0,2.0,1.0,29717504.0
219,36.0,42.0,26.0,12.0,24.0,1.0,4.0,0.0,1.0,16009561.0
220,13.0,35.0,25.0,17.0,19.0,5.0,6.0,2.0,1.0,100000000.0
221,9.0,44.0,5.0,37.0,45.0,9.0,6.0,0.0,1.0,43037732.0
222,13.0,48.0,9.0,12.0,14.0,1.0,2.0,0.0,1.0,28117227.0
223,33.0,36.0,40.0,22.0,42.0,1.0,2.0,0.0,1.0,15000000.0
224,36.0,30.0,20.0,40.0,10.0,3.0,5.0,2.0,1.0,15000000.0
225,4.0,34.0,35.0,46.0,29.0,5.0,8.0,1.0,1.0,28407448.0
226,36.0,49.0,33.0,40.0,32.0,2.0,8.0,0.0,1.0,15000000.0
227,50.0,22.0,17.0,3.0,49.0,3.0,6.0,1.0,1.0,15000000.0
228,22.0,7.0,15.0,28.0,48.0,4.0,1.0,1.0,1.0,57199762.0
229,48.0,30.0,29.0,37.0,36.0,1.0,6.0,0.0,1.0,40425333.0
230,2.0,24.0,43.0,38.0,34.0,1.0,7.0,1.0,1.0,15338239.0
231,46.0,19.0,42.0,36.0,38.0,8.0,2.0,1.0,1.0,19106756.0
232,3.0,35.0,29.0,42.0,20.0,3.0,8.0,1.0,1.0,43677118.0
233,46.0,2.0,10.0,3.0,33.0,8.0,7.0,0.0,1.0,28707820.0
234,28.0,32.0,46.0,8.0,19.0,4.0,7.0,0.0,1.0,15000000.0
235,9.0,41.0,36.0,49.0,28.0,7.0,5.0,1.0,1.0,45322973.0
236,36.0,12.0,15.0,45.0,32.0,9.0,7.0,0.0,1.0,30223423.0
237,23.0,47.0,7.0,19.0,29.0,6.0,1.0,0.0,1.0,16141034.0
238,21.0,23.0,33.0,50.0,40.0,5.0,4.0,1.0,1.0,29087861.0
239,32.0,22.0,16.0,42.0,20.0,8.0,9.0,0.0,1.0,15000000.0
240,39.0,5.0,11.0,9.0,4.0,3.0,5.0,2.0,1.0,29421180.0
241,38.0,31.0,2.0,36.0,43.0,7.0,3.0,0.0,1.0,15000000.0
242,46.0,35.0,39.0,30.0,9.0,6.0,8.0,1.0,1.0,129818431.0
243,4.0,27.0,6.0,48.0,1.0,1.0,6.0,0.0,1.0,100000000.0
244,1.0,16.0,48.0,4.0,40.0,1.0,9.0,2.0,1.0,28674645.0
245,50.0,27.0,38.0,17.0,29.0,3.0,1.0,0.0,1.0,15000000.0
246,35.0,41.0,21.0,45.0,17.0,5.0,1.0,1.0,1.0,15000000.0
247,24.0,49.0,47.0,26.0,13.0,4.0,8.0,1.0,1.0,15000000.0
248,13.0,6.0,30.0,1.0,49.0,1.0,9.0,2.0,1.0,15000000.0
249,27.0,31.0,5.0,42.0,40.0,6.0,1.0,1.0,1.0,15000000.0
250,15.0,9.0,47.0,21.0,4.0,7.0,2.0,3.0,1.0,15000000.0
251,42.0,28.0,13.0,29.0,25.0,4.0,5.0,1.0,1.0,15000000.0
252,39.0,11.0,3.0,4.0,28.0,8.0,2.0,1.0,1.0,28092206.0
253,4.0,13.0,37.0,35.0,46.0,9.0,3.0,0.0,1.0,15000000.0
254,49.0,46.0,45.0,39.0,38.0,7.0,8.0,1.0,1.0,42218532.0
255,37.0,9.0,49.0,24.0,39.0,3.0,9.0,0.0,1.0,28051827.0
256,46.0,41.0,36.0,13.0,12.0,8.0,1.0,0.0,1.0,15000000.0
257,18.0,1.0,8.0,28.0,31.0,9.0,8.0,1.0,1.0,27989077.0
258,2.0,29.0,31.0,38.0,32.0,4.0,1.0,0.0,1.0,15000000.0
259,44.0,2.0,36.0,22.0,24.0,2.0,1.0,1.0,1.0,15000000.0
260,34.0,42.0,17.0,40.0,4.0,9.0,4.0,1.0,1.0,15000000.0
261,9.0,31.0,32.0,33.0,4.0,3.0,7.0,1.0,1.0,15000000.0
262,38.0,19.0,50.0,7.0,30.0,4.0,7.0,1.0,1.0,15000000.0
263,17.0,31.0,43.0,47.0,1.0,3.0,2.0,1.0,1.0,100037101.0
264,15.0,21.0,6.0,3.0,32.0,7.0,9.0,0.0,1.0,78821704.0
265,6.0,36.0,22.0,25.0,24.0,3.0,8.0,0.0,1.0,60297781.0
266,46.0,3.0,7.0,8.0,43.0,6.0,8.0,0.0,1.0,43702394.0
267,17.0,11.0,26.0,40.0,9.0,9.0,3.0,0.0,1.0,28888274.0
268,44.0,23.0,24.0,21.0,7.0,3.0,4.0,0.0,1.0,15000000.0
269,26.0,18.0,12.0,24.0,45.0,5.0,4.0,1.0,1.0,15000000.0
270,18.0,37.0,8.0,16.0,43.0,2.0,6.0,1.0,1.0,44378829.0
271,38.0,28.0,30.0,39.0,10.0,7.0,2.0,0.0,1.0,29152590.0
272,46.0,1.0,26.0,36.0,33.0,7.0,6.0,0.0,1.0,15000000.0
273,19.0,18.0,49.0,12.0,43.0,9.0,3.0,1.0,1.0,46258004.0
274,42.0,11.0,29.0,7.0,18.0,7.0,6.0,0.0,1.0,30133000.0
275,37.0,12.0,38.0,31.0,43.0,3.0,2.0,0.0,1.0,15000000.0
276,5.0,45.0,1.0,38.0,18.0,6.0,4.0,2.0,1.0,129618405.0
277,46.0,38.0,34.0,35.0,39.0,3.0,4.0,0.0,1.0,100000000.0
278,39.0,43.0,30.0,17.0,9.0,7.0,5.0,1.0,1.0,29242656.0
279,4.0,44.0,27.0,22.0,36.0,9.0,7.0,0.0,1.0,15000000.0
280,49.0,50.0,26.0,29.0,11.0,4.0,7.0,2.0,1.0,59407369.0
281,44.0,5.0,14.0,4.0,46.0,9.0,8.0,0.0,1.0,42944229.0
282,22.0,24.0,27.0,36.0,9.0,7.0,5.0,0.0,1.0,28412329.0
283,36.0,44.0,43.0,16.0,50.0,8.0,7.0,0.0,1.0,51792389.0
284,26.0,21.0,25.0,19.0,44.0,7.0,3.0,0.0,1.0,38129375.0
285,22.0,7.0,24.0,28.0,21.0,1.0,11.0,0.0,1.0,30860915.0
286,14.0,48.0,1.0,9.0,12.0,7.0,1.0,0.0,1.0,15000000.0
287,10.0,2.0,23.0,31.0,5.0,5.0,2.0,1.0,1.0,46576447.0
288,12.0,37.0,18.0,33.0,7.0,1.0,11.0,0.0,1.0,34268472.0
289,21.0,12.0,47.0,44.0,29.0,2.0,1.0,0.0,1.0,26824531.0
290,34.0,21.0,20.0,38.0,19.0,9.0,3.0,0.0,1.0,15000000.0
291,27.0,40.0,7.0,43.0,30.0,9.0,8.0,1.0,1.0,27094320.0
292,25.0,50.0,11.0,45.0,41.0,7.0,2.0,0.0,1.0,15000000.0
293,34.0,14.0,26.0,19.0,28.0,5.0,8.0,1.0,1.0,35062896.0
294,16.0,40.0,38.0,24.0,18.0,2.0,4.0,0.0,1.0,21897137.0
295,39.0,44.0,24.0,4.0,12.0,2.0,4.0,0.0,1.0,15000000.0
296,47.0,17.0,22.0,6.0,45.0,3.0,11.0,1.0,1.0,15000000.0
297,30.0,18.0,1.0,4.0,23.0,3.0,7.0,1.0,1.0,67939184.0
298,40.0,15.0,4.0,29.0,1.0,1.0,5.0,0.0,1.0,54417326.0
299,41.0,50.0,11.0,43.0,14.0,9.0,2.0,0.0,1.0,46270560.0
300,20.0,45.0,23.0,14.0,46.0,1.0,11.0,0.0,1.0,33703338.0
301,39.0,16.0,20.0,17.0,50.0,4.0,8.0,0.0,1.0,26983680.0
302,39.0,28.0,22.0,12.0,27.0,4.0,10.0,0.0,1.0,15000000.0
303,37.0,19.0,2.0,33.0,46.0,5.0,8.0,2.0,1.0,47998649.0
304,46.0,18.0,37.0,48.0,23.0,2.0,10.0,0.0,1.0,35273363.0
305,47.0,23.0,12.0,29.0,32.0,3.0,5.0,0.0,1.0,27483912.0
306,12.0,16.0,4.0,1.0,48.0,9.0,10.0,0.0,1.0,15000000.0
307,42.0,34.0,18.0,38.0,26.0,8.0,5.0,1.0,1.0,117705979.0
308,14.0,16.0,23.0,45.0,38.0,8.0,11.0,0.0,1.0,100000000.0
309,28.0,15.0,44.0,31.0,5.0,1.0,6.0,3.0,1.0,48578058.0
310,28.0,18.0,40.0,27.0,35.0,3.0,5.0,0.0,1.0,35496319.0
311,6.0,33.0,48.0,14.0,34.0,6.0,2.0,0.0,1.0,27447714.0
312,25.0,38.0,19.0,9.0,36.0,11.0,7.0,0.0,1.0,15000000.0
313,39.0,2.0,42.0,17.0,8.0,3.0,10.0,1.0,1.0,15000000.0
314,28.0,32.0,49.0,9.0,30.0,9.0,10.0,1.0,1.0,162256622.0
315,21.0,5.0,34.0,31.0,28.0,2.0,1.0,0.0,1.0,147365854.0
